id,passenger_numbers,Date
1,112,1949-01-01
2,118,1949-02-01
3,132,1949-03-01
4,129,1949-04-01
5,121,1949-05-01
6,135,1949-06-01
7,148,1949-07-01
8,148,1949-08-01
9,136,1949-09-01
10,119,1949-10-01
11,104,1949-11-01
12,118,1949-12-01
13,115,1950-01-01
14,126,1950-02-01
15,141,1950-03-01
16,135,1950-04-01
17,125,1950-05-01
18,149,1950-06-01
19,170,1950-07-01
20,170,1950-08-01
21,158,1950-09-01
22,133,1950-10-01
23,114,1950-11-01
24,140,1950-12-01
25,145,1951-01-01
26,150,1951-02-01
27,178,1951-03-01
28,163,1951-04-01
29,172,1951-05-01
30,178,1951-06-01
31,199,1951-07-01
32,199,1951-08-01
33,184,1951-09-01
34,162,1951-10-01
35,146,1951-11-01
36,166,1951-12-01
37,171,1952-01-01
38,180,1952-02-01
39,193,1952-03-01
40,181,1952-04-01
41,183,1952-05-01
42,218,1952-06-01
43,230,1952-07-01
44,242,1952-08-01
45,209,1952-09-01
46,191,1952-10-01
47,172,1952-11-01
48,194,1952-12-01
49,196,1953-01-01
50,196,1953-02-01
51,236,1953-03-01
52,235,1953-04-01
53,229,1953-05-01
54,243,1953-06-01
55,264,1953-07-01
56,272,1953-08-01
57,237,1953-09-01
58,211,1953-10-01
59,180,1953-11-01
60,201,1953-12-01
61,204,1954-01-01
62,188,1954-02-01
63,235,1954-03-01
64,227,1954-04-01
65,234,1954-05-01
66,264,1954-06-01
67,302,1954-07-01
68,293,1954-08-01
69,259,1954-09-01
70,229,1954-10-01
71,203,1954-11-01
72,229,1954-12-01
73,242,1955-01-01
74,233,1955-02-01
75,267,1955-03-01
76,269,1955-04-01
77,270,1955-05-01
78,315,1955-06-01
79,364,1955-07-01
80,347,1955-08-01
81,312,1955-09-01
82,274,1955-10-01
83,237,1955-11-01
84,278,1955-12-01
85,284,1956-01-01
86,277,1956-02-01
87,317,1956-03-01
88,313,1956-04-01
89,318,1956-05-01
90,374,1956-06-01
91,413,1956-07-01
92,405,1956-08-01
93,355,1956-09-01
94,306,1956-10-01
95,271,1956-11-01
96,306,1956-12-01
97,315,1957-01-01
98,301,1957-02-01
99,356,1957-03-01
100,348,1957-04-01
101,355,1957-05-01
102,422,1957-06-01
103,465,1957-07-01
104,467,1957-08-01
105,404,1957-09-01
106,347,1957-10-01
107,305,1957-11-01
108,336,1957-12-01
109,340,1958-01-01
110,318,1958-02-01
111,362,1958-03-01
112,348,1958-04-01
113,363,1958-05-01
114,435,1958-06-01
115,491,1958-07-01
116,505,1958-08-01
117,404,1958-09-01
118,359,1958-10-01
119,310,1958-11-01
120,337,1958-12-01
121,360,1959-01-01
122,342,1959-02-01
123,406,1959-03-01
124,396,1959-04-01
125,420,1959-05-01
126,472,1959-06-01
127,548,1959-07-01
128,559,1959-08-01
129,463,1959-09-01
130,407,1959-10-01
131,362,1959-11-01
132,405,1959-12-01
133,417,1960-01-01
134,391,1960-02-01
135,419,1960-03-01
136,461,1960-04-01
137,472,1960-05-01
138,535,1960-06-01
139,622,1960-07-01
140,606,1960-08-01
141,508,1960-09-01
142,461,1960-10-01
143,390,1960-11-01
144,432,1960-12-01